#transcriptID	transcriptSymbol	chrom	strand	positions
FBtr0077772	dpp-RB	2L	+	2444193:2450193,2450326:2455057
FBtr0073197	Gr64d-RA	3L	+	4026141:4032141,4032389:4032460
FBtr0088911	scra-RA	2R	+	7584202:7590202,7590462:7590568
FBtr0343825	CG15160-RB	2L	+	18584891:18590891,18591368:18591427
FBtr0346276	Karl-RC	X	+	11781381:11787381,11788337:11788771
FBtr0340197	sdk-RI	X	+	680834:686834,687075:687573
FBtr0072771	Gk2-RA	3L	+	1735838:1741838,1742011:1743208
FBtr0299796	CG42329-RA	2L	+	1213293:1219293,1219592:1219657
FBtr0333708	Dysb-RB	3L	+	18861771:18867771
FBtr0305157	Glut4EF-RF	3R	+	9922917:9928917,9929727:9930364
FBtr0079822	numb-RA	2L	+	9443830:9449830,9450382:9460047
FBtr0085328	CG14529-RA	3R	+	28866905:28872905
FBtr0331923	Hdc-RB	2R	+	10233832:10239832,10239887:10240894
FBtr0078861	spartin-RA	3R	+	4648800:4654800,4655080:4655518
FBtr0342913	noc-RB	2L	+	14484859:14490859
FBtr0083662	CG31231-RA	3R	+	18659361:18665361,18666993:18667061
FBtr0344360	CG45049-RC	3R	+	22720967:22726967,22727492:22728843
FBtr0345267	RYa-R-RB	3R	+	26990980:26996980,26997343:27027920
FBtr0078266	CG10589-RA	3L	+	20921826:20927826
FBtr0080285	dgt2-RA	2L	+	11983936:11989936
FBtr0081096	CG10338-RA	2L	+	18689731:18695731,18696209:18696568
FBtr0077702	Gr23a-RB	2L	+	2664923:2670923,2671805:2671862
FBtr0346864	caps-RE	3L	+	13222692:13228692,13229141:13238675
FBtr0100635	slo-RN	3R	+	24662146:24668146,24668910:24669541
FBtr0299826	CAP-RL	2R	+	10272736:10278736,10284802:10294612
FBtr0302637	Pka-R1-RV	3L	+	20812965:20818965,20819470:20832846
FBtr0340019	SP2353-RB	2R	+	16025930:16031930,16032177:16038052
FBtr0290009	Sema2b-RB	2R	+	16380524:16386524,16386751:16398829
FBtr0307080	Bacc-RC	2L	+	2746800:2752800,2752838:2753372
FBtr0333403	Blos4-RB	3L	+	10873085:10879085
FBtr0088575	Su(var)2-10-RG	2R	+	9110618:9116618,9117853:9117917
FBtr0084171	mRpL35-RA	3R	+	22017527:22023527
FBtr0080093	Lip4-RA	2L	+	10523415:10529415,10529750:10530078
FBtr0082017	pasi2-RA	3R	+	9329170:9335170,9335253:9335497
FBtr0301504	par-1-RR	2R	+	19461466:19467466,19467642:19468790
FBtr0334729	CG5938-RF	3R	+	27268794:27274794,27275012:27275177
FBtr0084346	Gr94a-RA	3R	+	23045689:23051689
FBtr0091795	CG33791-RD	3L	+	1598714:1604714,1605057:1605159
FBtr0071517	CG9235-RA	2R	+	20903704:20909704
FBtr0083666	CG31230-RA	3R	+	18665679:18671679
FBtr0290314	CG10737-RR	2R	+	19158143:19164143,19164176:19165164
FBtr0336832	CG3036-RB	2L	+	4886112:4892112,4892605:4893935
FBtr0085192	Mtl-RB	3R	+	27630549:27636549,27636837:27637838
FBtr0086077	CG3107-RA	2R	+	5084581:5090581,5090642:5091872
FBtr0346344	Osi6-RB	3R	+	6228708:6234708
FBtr0078553	CG11109-RA	3L	+	22866258:22872258
FBtr0345416	CG10915-RB	2R	+	18154720:18160720,18161876:18161952
FBtr0072785	GV1-RB	3L	+	1804588:1810588,1810720:1812629
FBtr0085789	CG11333-RA	3R	+	31457301:31463301,31463485:31463542
FBtr0083171	CG5614-RA	3R	+	15773805:15779805
FBtr0083971	TotA-RA	3R	+	20865036:20871036
FBtr0303385	Msp300-RD	2L	+	5102512:5108512,5111022:5117577
FBtr0332948	CG14589-RC	2R	+	6131303:6137303,6137814:6137989
FBtr0345174	CG1129-RD	3R	+	4807639:4813639,4813977:4814239
FBtr0308094	Mp-RP	3L	+	7042590:7048590,7048703:7048842
FBtr0074334	CG13005-RA	X	+	16797650:16803650
FBtr0333315	dnc-RS	X	+	3170440:3176440,3176686:3189534
FBtr0070069	CG12470-RA	X	+	301684:307684
FBtr0304119	Lip4-RB	2L	+	10523128:10529128,10529750:10530078
FBtr0070966	pod1-RC	X	+	6798985:6804985,6805007:6805678
FBtr0084209	Sar1-RC	3R	+	22350685:22356685,22357048:22357531
FBtr0077643	Bem46-RA	2L	+	2982116:2988116,2988384:2988437
FBtr0333808	AP-1gamma-RI	X	+	9103550:9109550,9109695:9110618
FBtr0100634	slo-RM	3R	+	24662146:24668146,24668910:24669541
FBtr0299828	CAP-RN	2R	+	10297209:10303209,10304931:10304988
FBtr0078914	Sfxn1-3-RA	3R	+	4372600:4378600,4379010:4379450
FBtr0340030	retn-RD	2R	+	23640193:23646193,23646364:23647689
FBtr0086736	pAbp-RC	2R	+	18134078:18140078,18140333:18141488
FBtr0070478	CG2662-RA	X	+	2692701:2698701,2698979:2699044
FBtr0273343	sha-RB	2R	+	11318314:11324314,11324411:11324472
FBtr0308803	BuGZ-RD	2L	+	16737405:16743405,16743571:16743760
FBtr0077885	CG17646-RB	2L	+	1726524:1732524,1732655:1741660
FBtr0335179	Piezo-RI	2L	+	8157073:8163073,8163519:8173016
FBtr0334276	Hph-RC	3R	+	5251037:5257037,5258122:5266753
FBtr0339789	Pp2A-29B-RE	2L	+	8360038:8366038,8366395:8367096
FBtr0301404	Hrb27C-RE	2L	+	6915639:6921639,6921674:6922731
FBtr0082559	CG10014-RA	3R	+	12216387:12222387,12222667:12222734
FBtr0301774	HDAC6-RD	X	+	15329141:15335141,15335269:15335350
FBtr0085039	CG5484-RC	3R	+	26711871:26717871,26718027:26718328
FBtr0334725	Synd-RD	3R	+	20826799:20832799,20832874:20835225
FBtr0100651	Cp110-RD	X	+	22476082:22482082,22482397:22482450
FBtr0309312	CG1172-RB	3R	+	5387922:5393922,5394103:5394231
FBtr0089737	REPTOR-BP-RB	2L	+	10258125:10264125,10264265:10264552
FBtr0085786	CG1607-RB	3R	+	31378399:31384399,31384500:31387076
FBtr0309040	CG5948-RB	3R	+	25889822:25895822,25896141:25896482
FBtr0113437	SPoCk-RD	3L	+	22753977:22759977,22760241:22777111
FBtr0070859	CG12728-RA	X	+	5936606:5942606,5942842:5942903
FBtr0333230	Gpdh1-RG	2L	+	5937643:5943643,5944154:5944268
FBtr0332655	robl62A-RB	3L	+	1471619:1477619
FBtr0083263	gish-RA	3R	+	16274889:16280889,16281025:16282081
FBtr0339671	CG8668-RB	2L	+	8121001:8127001,8127973:8131287
FBtr0112813	dlg1-RL	X	+	11363665:11369665,11369800:11373817
FBtr0083632	CG7694-RA	3R	+	18567091:18573091,18573526:18577567
FBtr0113257	hdly-RB	3R	+	20908296:20914296,20914409:20925922
FBtr0306545	su(f)-RG	X	+	23090771:23096771,23096876:23097420
FBtr0329843	sick-RD	2L	+	19890045:19896045,19896208:19901966
FBtr0273301	CG6026-RB	3R	+	19027538:19033538,19033872:19039503
FBtr0087437	AttA-RA	2R	+	14741362:14747362
FBtr0301207	tapas-RD	2R	+	20313180:20319180,20319338:20319795
FBtr0083408	Det-RA	3R	+	17143667:17149667,17149921:17149998
FBtr0084905	CG14354-RA	3R	+	25809479:25815479
FBtr0070800	RpL35-RB	X	+	5666480:5672480,5672523:5672998
FBtr0080432	Pk34A-RA	2L	+	13152810:13158810
FBtr0333049	Gug-RJ	3L	+	8443922:8449922,8450458:8451775
FBtr0300768	CG14380-RB	3R	+	13182519:13188519,13188641:13188707
FBtr0301977	CG31077-RB	3R	+	26993752:26999752
FBtr0344237	MTF-1-RG	3L	+	9424312:9430312,9430837:9433899
FBtr0340142	sdt-RP	X	+	8172549:8178549,8179581:8181045
FBtr0332321	grnd-RC	2L	+	18479417:18485417,18486203:18486626
FBtr0081102	CG17325-RA	2L	+	18807009:18813009
FBtr0078191	zye-RA	3L	+	20407604:20413604,20413667:20417206
FBtr0343497	NKAIN-RL	2R	+	24875570:24881570,24881627:24882631
FBtr0080105	CG17104-RA	2L	+	10671365:10677365,10677465:10677747
FBtr0083174	Acyp2-RA	3R	+	15786688:15792688,15792902:15792957
FBtr0079286	CG9550-RA	2L	+	6491053:6497053,6497724:6497786
FBtr0336766	spg-RH	3R	+	28839300:28845300,28846001:28852879
FBtr0112928	fz3-RB	X	+	771734:777734
FBtr0339101	Snp-RF	2R	+	22062275:22068275
FBtr0080981	CG5050-RA	2L	+	17446924:17452924,17453438:17453515
FBtr0072131	CG5597-RA	2R	+	23880973:23886973,23887127:23887874
FBtr0070045	CG33217-RA	3L	+	23120025:23126025,23126119:23126200
FBtr0302405	CG11836-RF	3R	+	25065126:25071126,25071165:25071471
FBtr0072250	enok-RA	2R	+	24093210:24099210,24099372:24099875
FBtr0112954	CG14445-RB	X	+	6231315:6237315,6237664:6238001
FBtr0075995	CG11534-RA	3L	+	12126146:12132146
FBtr0082644	CG18530-RA	3R	+	12627359:12633359,12633422:12633482
FBtr0339251	CG13627-RC	3R	+	24706780:24712780,24713098:24715050
FBtr0340621	X11L-RF	X	+	17593608:17599608,17599680:17600773
FBtr0082269	CG4073-RA	3R	+	10708798:10714798
FBtr0078680	POLDIP2-RA	3R	+	5461778:5467778,5468150:5468203
FBtr0074134	CG8931-RA	X	+	15977772:15983772,15983952:15984014
FBtr0334119	CG44000-RB	2L	+	5037270:5043270,5043384:5045822
FBtr0343674	CG33090-RD	2L	+	14328158:14334158,14334571:14341307
FBtr0071604	dom-RE	2R	+	21317430:21323430,21323623:21324189
FBtr0310402	CG43675-RB	3R	+	9349956:9355956
FBtr0073655	Fpgs-RA	X	+	12605867:12611867,12611991:12612395
FBtr0299947	CG14651-RB	3R	+	4474812:4480812
FBtr0346144	CG14609-RB	3R	+	7194970:7200970,7201314:7201375
FBtr0346516	gdl-RC	3L	+	15503598:15509598,15509882:15509937
FBtr0070679	CG3546-RA	X	+	4552072:4558072
FBtr0113261	CG7907-RB	3R	+	21397735:21403735,21403976:21404041
FBtr0347286	CG33946-RB	3L	+	6214578:6220578
FBtr0083969	RpS30-RA	3R	+	20844597:20850597,20850628:20850855
FBtr0344377	Atx2-RD	3R	+	15404892:15410892,15410912:15412121
FBtr0301483	tHMG2-RB	3R	+	22486953:22492953
FBtr0083511	CG14321-RA	3R	+	17727598:17733598
FBtr0070554	CG14421-RA	X	+	2935408:2941408
FBtr0345911	vvl-RD	3L	+	6784158:6790158
FBtr0085901	nolo-RA	2L	+	21678106:21684106,21684340:21684546
FBtr0335228	CG2698-RI	3R	+	7995562:8001562,8001796:8001895
FBtr0076842	lark-RB	3L	+	7333464:7339464,7339618:7339962
FBtr0330150	Tsp86D-RC	3R	+	10862708:10868708
FBtr0303005	CG11349-RB	3L	+	4467068:4473068
FBtr0074050	CG8117-RA	X	+	15638222:15644222
FBtr0087105	RpLP2-RA	2R	+	16580129:16586129
FBtr0083968	CG15696-RA	3R	+	20841068:20847068
FBtr0075837	CG14113-RA	3L	+	13323135:13329135
FBtr0081254	Tep4-RA	2L	+	19543693:19549693,19549929:19551682
FBtr0085289	beat-VI-RA	3R	+	28412208:28418208,28418868:28442770
FBtr0332307	CG1494-RC	X	+	21279301:21285301,21286230:21286295
FBtr0299510	DCX-EMAP-RD	3L	+	14915692:14921692,14921892:14931725
FBtr0304968	CG43082-RA	3L	+	15655867:15661867,15661892:15661949
FBtr0070115	CG13369-RA	X	+	617468:623468,623735:623796
FBtr0085624	Fer2LCH-RC	3R	+	30383139:30389139
FBtr0112392	CG34199-RA	2R	+	20281596:20287596
FBtr0305570	mbf1-RD	3L	+	16568645:16574645,16574753:16574853
FBtr0332586	Ocrl-RB	X	+	1916981:1922981,1923078:1923147
FBtr0290010	CG34126-RB	2L	+	4975614:4981614,4982073:4983714
FBtr0076580	CG32024-RA	3L	+	8801601:8807601
FBtr0336860	dao-RC	2L	+	15242879:15248879,15249567:15250648
FBtr0082998	CG33331-RA	3R	+	14880456:14886456
FBtr0340173	tweek-RK	2L	+	16882490:16888490,16889126:16891458
FBtr0345496	nsr-RB	2R	+	22644556:22650556,22650812:22650870
FBtr0085010	Hex-t1-RA	3R	+	26443079:26449079
FBtr0345817	Gk2-RF	3L	+	1732407:1738407,1738745:1743208
FBtr0070065	cin-RA	X	+	249674:255674,255825:255881
FBtr0085661	tmod-RC	3R	+	30540405:30546405,30546588:30548452
FBtr0085667	PH4alphaNE3-RA	3R	+	30598181:30604181,30604349:30604407
FBtr0077873	Or22a-RA	2L	+	1514491:1520491,1520741:1520801
FBtr0335391	tio-RB	2L	+	22013208:22019208,22020091:22020688
FBtr0087406	CG12853-RA	2R	+	14927515:14933515
FBtr0070468	sgg-RE	X	+	2627952:2633952,2634026:2641590
FBtr0077718	CG2862-RA	2L	+	2764135:2770135,2770192:2770259
FBtr0344147	CG34171-RC	2L	+	18372591:18378591,18378853:18378906
FBtr0100655	CG4456-RB	3L	+	9366931:9372931,9373096:9373162
FBtr0075263	Nc73EF-RC	3L	+	16949500:16955500,16955592:16959099
FBtr0073066	PHGPx-RC	3L	+	3320265:3326265,3326713:3327860
FBtr0335439	CG31019-RB	3R	+	30591004:30597004,30597065:30597264
FBtr0347602	Or98b-RB	3R	+	28346242:28352242,28352552:28352607
FBtr0346453	CG34310-RD	2L	+	6657664:6663664,6664588:6664931
FBtr0333405	tai-RH	2L	+	9160778:9166778,9167439:9191615
FBtr0343348	CG1402-RC	X	+	7820197:7826197,7826835:7835031
FBtr0332105	SPoCk-RG	3L	+	22753977:22759977,22760241:22760789
FBtr0113744	RpL15-RC	3L	+	27261256:27267256,27267456:27267514
FBtr0077193	dod-RA	X	+	21339358:21345358,21345509:21345620
FBtr0273311	CG30268-RB	2R	+	22706701:22712701,22713017:22713081
FBtr0089451	anne-RG	4	+	126220:132220,132288:133186
FBtr0086083	d4-RC	2R	+	5288063:5294063,5294713:5294797
FBtr0303230	Kua-RB	2L	+	20091856:20097856,20098235:20100944
FBtr0273240	Wbp2-RB	3L	+	12844165:12850165,12850332:12850498
FBtr0308847	CG4678-RI	X	+	16690131:16696131,16696218:16696497
FBtr0083256	CG31287-RA	3R	+	16197371:16203371,16203594:16203648
FBtr0071854	CG4269-RA	2R	+	22593338:22599338
FBtr0081024	CG5681-RA	2L	+	17980399:17986399
FBtr0332020	Ca-alpha1D-RE	2L	+	16162346:16168346,16168472:16169487
FBtr0342899	CG33225-RC	2R	+	21584275:21590275,21590391:21590453
FBtr0070219	CG32813-RD	X	+	1374914:1380914,1381127:1385904
FBtr0300568	Gs1-RD	2L	+	126077:132077
FBtr0110773	CG10405-RB	3R	+	16448492:16454492,16455181:16455485
FBtr0082177	nerfin-2-RA	3R	+	10065117:10071117,10072648:10072708
FBtr0334616	CG8312-RC	3R	+	9585929:9591929,9592186:9607913
FBtr0070299	Adar-RA	X	+	1767725:1773725,1774223:1775699
FBtr0075567	RhoGAP71E-RB	3L	+	15582860:15588860,15589997:15600416
FBtr0114515	Gr2a-RB	X	+	1446430:1452430,1452592:1452663
FBtr0334885	sas-RD	3R	+	7156808:7162808,7163041:7164122
FBtr0070198	CG11379-RA	X	+	1174165:1180165
FBtr0301158	Zasp66-RO	3L	+	8618371:8624371,8624684:8626961
FBtr0304917	CG34354-RD	3R	+	28140880:28146880,28146969:28147678
FBtr0081511	Gr39a-RA	2L	+	21290314:21296314,21297190:21297285
FBtr0333177	CG42346-RC	X	+	22826399:22832399,22832439:22866051
FBtr0113219	cu-RD	3R	+	11197032:11203032,11203786:11206906
FBtr0303281	CG42751-RA	2L	+	11847430:11853430
FBtr0074494	CG12985-RA	X	+	17877718:17883718
FBtr0345603	Ubc4-RB	3L	+	9692336:9698336,9698756:9698966
FBtr0307378	CG7120-RF	3L	+	8392086:8398086,8398365:8398987
FBtr0087241	Lis-1-RF	2R	+	16175249:16181249,16181806:16181981
FBtr0077778	oaf-RB	2L	+	2486955:2492955,2493297:2495374
FBtr0301668	rad50-RD	2R	+	22415013:22421013,22421739:22421794
FBtr0336769	Hcs-RB	3R	+	5468899:5474899,5475402:5475463
FBtr0085975	CCHa2-R-RA	2R	+	6044949:6050949,6051364:6062580
FBtr0080201	hgo-RA	2L	+	11130393:11136393,11136448:11136806
FBtr0089323	CG10725-RB	3L	+	13431954:13437954,13437987:13438045
FBtr0075282	rogdi-RB	3L	+	17043512:17049512,17049738:17050513
FBtr0329954	CG30471-RB	2R	+	15527520:15533520,15533588:15535168
FBtr0072145	CG2970-RA	2R	+	23943201:23949201,23949477:23949542
FBtr0301706	lectin-46Cb-RB	2R	+	9809510:9815510
FBtr0082390	CG5276-RA	3R	+	11425738:11431738
FBtr0077384	CG15628-RA	2L	+	4815774:4821774,4823236:4825608
FBtr0335418	GluClalpha-RJ	3R	+	19724715:19730715,19731280:19752529
FBtr0078638	dgrn-RA	3R	+	5818615:5824615,5824976:5825036
FBtr0086621	DptB-RA	2R	+	18861391:18867391
FBtr0082586	pps-RA	3R	+	12407828:12413828,12414287:12414352
FBtr0333925	CG31324-RB	3R	+	26100868:26106868,26107343:26107585
FBtr0306232	milt-RE	2L	+	7043272:7049272,7049726:7051367
FBtr0299587	Nup153-RC	X	+	16593241:16599241,16600314:16600380
FBtr0076841	lark-RA	3L	+	7333464:7339464,7339618:7339868
FBtr0305064	CG4341-RC	2L	+	916793:922793,923220:950492
FBtr0077207	slgA-RC	X	+	21376097:21382097,21382245:21382549
FBtr0073822	rdgB-RA	X	+	13756752:13762752,13762869:13767787
FBtr0472695	CG46339-RA	3R	+	26909761:26915761,26915909:26916503
FBtr0345108	Svil-RAA	3L	+	2488538:2494538,2494766:2495011
FBtr0301481	MED10-RB	3L	+	16226084:16232084
FBtr0077529	IFT57-RA	2L	+	3524789:3530789,3531200:3531254
FBtr0070526	CG10801-RA	X	+	3454592:3460592,3461196:3461247
FBtr0080624	CG33090-RB	2L	+	14328158:14334158,14334571:14341307
FBtr0085956	CG17018-RA	2L	+	22305927:22311927,22312039:22363430
FBtr0086043	l(2)09851-RA	2R	+	5748517:5754517
FBtr0344240	nwk-RJ	3L	+	9131860:9137860,9137890:9138582
FBtr0331239	Lar-RF	2L	+	19600569:19606569,19607082:19610610
FBtr0452147	Rab3-GEF-RK	X	+	15083682:15089682,15089962:15093238
FBtr0074727	car-RB	X	+	19560019:19566019,19566127:19566215
FBtr0300455	CG15666-RD	2R	+	21335972:21341972,21342239:21342297
FBtr0113489	CG34149-RB	3R	+	22374128:22380128
FBtr0087442	BEAF-32-RB	2R	+	14765301:14771301
FBtr0087992	Cyp6g1-RA	2R	+	12179667:12185667,12185826:12186405
FBtr0273344	Ir52d-RB	2R	+	15500582:15506582
FBtr0333431	SCOT-RC	3L	+	1958459:1964459,1964610:1964837
FBtr0091619	CG33642-RA	2L	+	13523975:13529975
FBtr0302942	CG9331-RF	2L	+	20818434:20824434,20824725:20825668
FBtr0305507	CG3662-RD	2L	+	815289:821289,821660:822858
FBtr0304746	Ac76E-RB	3L	+	19933287:19939287,19939543:19949262
FBtr0088406	egr-RB	2R	+	10072366:10078366,10079183:10081507
FBtr0071769	CG11275-RA	2R	+	22173695:22179695
FBtr0072883	yellow-g2-RA	3L	+	2270550:2276550
FBtr0342691	Obp57b-RB	2R	+	20498251:20504251
FBtr0070262	br-RE	X	+	1606341:1612341,1612804:1624138
FBtr0074632	CG6891-RB	X	+	18773633:18779633,18779846:18780681
FBtr0339274	Adar-RP	X	+	1767725:1773725,1774223:1778612
FBtr0332356	CG42817-RB	2L	+	16225475:16231475,16232235:16235620
FBtr0300328	CG32817-RB	X	+	473431:479431,479510:479582
FBtr0084054	ETHR-RA	3R	+	21241011:21247011,21247433:21258189
FBtr0075218	CG32176-RA	3L	+	17427868:17433868,17434138:17434189
FBtr0333560	MED10-RC	3L	+	16226084:16232084
FBtr0077353	Cp110-RA	X	+	22476395:22482395,22482751:22482842
FBtr0087048	Pkc53E-RB	2R	+	16918925:16924925,16925038:16926346
FBtr0084949	boss-RA	3R	+	25955994:25961994,25962044:25963442
FBtr0344542	SclB-RD	2L	+	16834137:16840137,16840579:16841345
FBtr0087207	CG8399-RA	2R	+	16011737:16017737,16017858:16021889
FBtr0343485	Start1-RD	2R	+	24570103:24576103,24576138:24576194
FBtr0300528	Pka-R1-RM	3L	+	20810118:20816118,20816834:20832846
FBtr0076510	GNBP3-RA	3L	+	8949021:8955021
FBtr0110910	Dhfr-RB	3R	+	16475167:16481167
FBtr0330340	GluRIB-RA	3L	+	9245978:9251978,9252512:9256147
FBtr0110839	CG34125-RA	2L	+	4959673:4965673
FBtr0345929	CG11007-RB	2R	+	19497068:19503068
FBtr0343400	CG7191-RB	2L	+	7761628:7767628,7767718:7771262
FBtr0085286	Moca-cyp-RA	3R	+	28334334:28340334,28340739:28341372
FBtr0301139	CG5021-RC	3L	+	8960829:8966829,8966993:8967128
FBtr0339953	CG13344-RC	2R	+	13855997:13861997,13862105:13862167
FBtr0303285	eag-RC	X	+	14949477:14955477,14955550:14955865
FBtr0113204	CG7900-RB	3R	+	8088124:8094124,8094329:8100024
FBtr0082712	timeout-RA	3R	+	13082651:13088651,13088863:13088923
FBtr0331785	CG17180-RB	3L	+	534938:540938,541429:541485
FBtr0303447	CG4036-RB	2L	+	9784882:9790882,9790902:9790969
FBtr0083566	14-3-3epsilon-RB	3R	+	18236531:18242531,18242910:18247433
FBtr0087722	CG13325-RA	2R	+	13110305:13116305,13116501:13122242
FBtr0303103	CG7991-RC	3L	+	1682809:1688809,1689614:1698647
FBtr0343165	CG34331-RC	X	+	20116453:20122453
FBtr0302490	lft-RB	2L	+	10358471:10364471,10364598:10365032
FBtr0081639	alphaTub84B-RA	3R	+	7080599:7086599
FBtr0301372	Cpr49Ac-RD	2R	+	12380960:12386960,12387096:12387382
FBtr0301148	CG5174-RL	2R	+	18415413:18421413,18421554:18423869
FBtr0345636	Naa20B-RB	2L	+	13251477:13257477
FBtr0339900	gro-RJ	3R	+	26035736:26041736,26041902:26042995
FBtr0085185	CG12885-RA	3R	+	27524313:27530313,27530452:27530787
FBtr0088002	Cam-RB	2R	+	12258544:12264544,12264676:12264743
FBtr0075387	RAF2-RA	3L	+	16380327:16386327,16386571:16386626
FBtr0113136	VhaM9.7-a-RB	3L	+	4256705:4262705
FBtr0333044	CG9384-RB	3L	+	14756028:14762028,14762397:14763053
FBtr0086758	CG18536-RA	2R	+	18288759:18294759,18294989:18295045
FBtr0330260	CG43737-RB	X	+	15169441:15175441,15175552:15175811
FBtr0302504	l(2)03659-RB	2R	+	9384165:9390165,9390705:9390844
FBtr0346630	CG8525-RD	2R	+	12419592:12425592,12425763:12425816
FBtr0078549	CG33169-RA	3L	+	22857864:22863864
FBtr0339487	BBS4-RB	2R	+	11129923:11135923,11136007:11136080
FBtr0070865	Grip-RA	X	+	5960279:5966279,5966738:5978842
FBtr0339089	Gyg-RE	2R	+	21194483:21200483,21200659:21204613
FBtr0086933	CG4847-RA	2R	+	17505513:17511513,17511545:17512452
FBtr0343356	Crag-RD	X	+	8586031:8592031,8592592:8593480
FBtr0087233	CG30094-RA	2R	+	16136202:16142202
FBtr0087533	CG8468-RA	2R	+	14213898:14219898,14220043:14220608
FBtr0075836	SP-RA	3L	+	13295635:13301635
FBtr0081512	crc-RA	2L	+	21304866:21310866,21311033:21311753
FBtr0078194	CG5872-RA	3L	+	20430250:20436250,20436470:20436527
FBtr0345419	hbs-RC	2R	+	15005396:15011396,15011831:15035981
FBtr0308594	Ctr1A-RD	X	+	6655647:6661647,6661802:6665000
FBtr0074268	CG4239-RA	X	+	16379278:16385278,16385692:16386971
FBtr0073688	CG3812-RA	X	+	12759266:12765266,12765513:12766969
FBtr0091842	His2A:CG33838-RA	2L	+	21487423:21493423
FBtr0332498	Bsg-RJ	2L	+	8082304:8088304,8088454:8089185
FBtr0073712	fne-RA	X	+	12932517:12938517,12939243:12941720
FBtr0081688	Edg84A-RA	3R	+	6678445:6684445
FBtr0306279	Diedel2-RA	3R	+	29602477:29608477
FBtr0339772	ssx-RC	X	+	1364580:1370580,1370664:1371231
FBtr0070197	CG11378-RA	X	+	1165425:1171425
FBtr0332929	Asx-RC	2R	+	14498227:14504227,14504370:14505168
FBtr0331536	dpr6-RC	3L	+	9968651:9974651,9975845:10003584
FBtr0088380	CG30008-RA	2R	+	9883878:9889878,9889996:9890052
FBtr0310091	CG43646-RA	2R	+	7012760:7018760,7018829:7018893
FBtr0088282	psq-RC	2R	+	10551888:10557888,10558377:10561686
FBtr0081482	l(2)k14505-RA	2L	+	21255168:21261168,21261335:21261412
FBtr0339086	CG44243-RA	2R	+	16191042:16197042,16198339:16198485
FBtr0079148	Gpdh1-RA	2L	+	5937965:5943965,5944154:5944268
FBtr0070392	CG3457-RA	X	+	2181820:2187820
FBtr0332317	CG10026-RD	2L	+	19448865:19454865,19454981:19456409
FBtr0336753	CG11975-RB	3R	+	8987253:8993253,8993451:8993536
FBtr0333742	CG42748-RJ	2L	+	22125221:22131221,22131448:22131503
FBtr0082572	GstD5-RA	3R	+	12369733:12375733
FBtr0082273	Cap-H2-RD	3R	+	10755772:10761772,10762026:10762247
FBtr0445398	Pmi-RF	3L	+	5774051:5780051,5780134:5780384
FBtr0303835	CG42828-RB	3R	+	23367703:23373703
FBtr0334458	B-H2-RB	X	+	17308581:17314581,17315912:17320735
FBtr0339108	CG44252-RE	2R	+	23049474:23055474,23055674:23057409
FBtr0088777	sut1-RA	2R	+	8076976:8082976,8083386:8084531
FBtr0070575	AstA-R1-RB	X	+	3568536:3574536,3574921:3632007
FBtr0076435	PGRP-LA-RE	3L	+	9328332:9334332,9334436:9334610
FBtr0332844	ben-RE	X	+	13990657:13996657
FBtr0079869	IP3K1-RA	2L	+	9776384:9782384,9783064:9786686
FBtr0304921	PIP5K59B-RF	2R	+	22868769:22874769,22875117:22875429
FBtr0084961	E(spl)m8-HLH-RA	3R	+	26034240:26040240
FBtr0304062	f-RB	X	+	17246145:17252145,17252616:17262640
FBtr0303788	gpp-RC	3R	+	6400857:6406857,6407775:6436725
FBtr0082962	His4r-RA	3R	+	14619755:14625755,14625816:14626026
FBtr0333453	Rpn10-RB	3L	+	21531066:21537066,21537139:21537240
FBtr0331578	bma-RE	3L	+	9921523:9927523,9927655:9928247
FBtr0070473	sgg-RI	X	+	2627952:2633952,2634026:2634836
FBtr0081386	CG18810-RA	2L	+	20642912:20648912
FBtr0078926	CG14650-RA	3R	+	4431387:4437387,4439760:4439817
FBtr0304579	CG12480-RB	X	+	14163592:14169592
FBtr0079765	CG9568-RA	2L	+	9004583:9010583,9010718:9010779
FBtr0071872	Obp58d-RA	2R	+	22700934:22706934,22707077:22707133
FBtr0302449	AANATL7-RD	X	+	2576477:2582477
FBtr0330376	Nelf-A-RB	3R	+	21217704:21223704,21224080:21224776
FBtr0330210	SoxN-RB	2L	+	8819645:8825645
FBtr0344556	SK-RS	X	+	5334236:5340236,5340322:5341181
FBtr0300467	SK-RH	X	+	5359225:5365225,5365914:5376048
FBtr0300256	Ask1-RC	3R	+	19873719:19879719,19880044:19880116
FBtr0331573	simj-RD	3L	+	10658739:10664739,10665371:10685010
FBtr0112727	CG34426-RA	3L	+	8796463:8802463,8802590:8802640
FBtr0082964	His4r-RC	3R	+	14619788:14625788
FBtr0305560	CG3793-RB	2L	+	15758220:15764220,15764622:15764783
FBtr0083086	SerRS-m-RA	3R	+	15334667:15340667
FBtr0070203	CG11381-RA	X	+	1197777:1203777
FBtr0088925	CG30493-RB	2R	+	7693253:7699253,7699388:7701944
